crop,pedo_climatic_area,n_fixing_frac,n_ag,n_bg,r_ag_t,rs_t,dry,cf,r_s_ratio,dry_c,ag_dm_peak,r_turnover,s_turnover,
Other,,0,0.008,0.009,1,0.22,0.85,1,0.22,0.45,,1,1,
Other Vegetables,,0,0.008,0.009,1,0.22,0.85,1,0.22,0.45,,1,1,
Generic Grains,,0,0.006,0.009,1.3,0.22,0.88,1,0.2,0.45,6,1,1,
Wheat,Continental,0,0.006,0.009,1.3,0.25,0.89,0.9,0.23,0.45,7.4,1,1,
Wheat,Mediterranean north,0,0.006,0.009,1.3,0.25,0.89,0.9,0.23,0.45,3.5,1,1,
Wheat,Mediterranean south,0,0.006,0.009,1.3,0.25,0.89,0.9,0.23,0.45,3,1,1,
Winter Wheat,,0,0.006,0.009,1.3,0.23,0.89,0.9,0.23,0.45,6,1,1,
Spring Wheat,,0,0.006,0.009,1.3,0.28,0.89,0.9,0.28,0.45,6,1,1,
Barley,,0,0.007,0.014,1.2,0.22,0.89,1,0.22,0.45,,1,1,
Oats,,0,0.007,0.008,1.3,0.25,0.89,1,0.25,0.45,6,1,1,
Maize,,0,0.006,0.0017,1,0.22,0.87,0.8,0.22,0.45,8,1,1,
Corn,,0,0.006,0.0017,1,0.22,0.87,0.8,0.22,0.45,8,1,1,Nitrogen supply affects root:shoot ratio in corn and velvetleaf (Abutilon theophrasti)
Rye,,0,0.005,0.011,1.6,,0.88,1,0.35,0.45,,1,1,The effect of photoperiod and temperature on growth and frost resistance of winter rye root systems
Rice,,0,0.007,0.009,1.4,0.16,0.89,0.8,0.16,0.45,,1,1,
Millet,,0,0.007,0.009,1.4,0.22,0.9,1,0.22,0.45,,1,1,
Sorghum,,0,0.007,0.006,1.4,,0.89,1,0.4,0.45,8,1,1,Evaluation of Root Characteristics in Grain Sorghum
Cowpea,,1,0.008,0.008,2.1,0.19,0.91,1,0.19,0.45,,1,1,
Beans,,1,0.008,0.008,2.1,0.19,0.91,1,0.19,0.45,,1,1,
Peas,,1,0.008,0.008,2.1,0.19,0.91,1,0.19,0.45,,1,1,
Soybeans,,1,0.008,0.008,2.1,0.19,0.91,1,0.19,0.45,,1,1,
Potatoes and Tubers,,0,0.019,0.014,0.4,0.2,0.22,1,0.2,0.45,,1,1,
Peanuts,,0,0.027,0.019,1,,0.94,1,,0.45,,1,1,
Alfalfa,,1,0.027,0.019,0,0.4,0.9,1,0.4,0.45,,1,1,
Vetch,,1,0.027,0.022,0.3,0.4,0.9,1,0.25,0.45,,1,1,
Lupins,,1,0.027,0.022,0.3,0.4,0.9,1,0.25,0.45,,1,1,
Triticale,,0,0.027,0.022,0.3,0.4,0.9,1,0.25,0.45,,1,1,
Non-legume hay,,0,0.015,0.012,0,0.54,0.9,1,0.54,0.45,,1,1,
N-fixing forages,,0.8,0.027,0.022,0.3,0.4,0.9,1,0.4,0.45,,1,1,
Non-N-fixing dry forages,,0,0.015,0.012,0.3,0.54,0.9,1,0.54,0.45,,1,1,
Perennial Grasses,,0.2,0.015,0.012,0.3,0.8,0.20,1,0.8,0.45,,0.2,0.3,
Grass-Clover Mixtures,,0,0.025,0.016,0.3,0.8,0.20,1,0.8,0.45,,1,1,
Italian Ryegrass,,0,0.015,0.012,0.3,0.54,0.18,1,0.25,0.45,6,1,1,
Perennial Ryegrass,,0,0.015,0.012,0.3,0.54,0.20,1,1.5,0.45,6,0.2,0.3,
Sudangrass,,0,0.015,0.012,0.3,0.54,0.17,1,0.2,0.45,5,1,1,
Aromatics,,0,0.01,0.01,,,0.1,,0.15,0.46,3.5,0.2,0,Lavender: https://doi.org/10.3390/horticulturae8080753
Sunflower,,0,0.006,0.009,1.3,0.25,0.89,0.9,0.12,0.45,,1,1,Root distributions in tillage layers and yields of pumpkin and oil sunflower in an intercropping system
Pumpkin,,0,0.006,0.009,1.3,0.25,0.89,0.9,0.01,0.45,,1,1,Root distributions in tillage layers and yields of pumpkin and oil sunflower in an intercropping system
Squash,,0,0.006,0.009,1.3,0.25,0.89,0.9,0.15,0.45,,1,1,https://doi.org/10.1080/01904169309364542
Beets,,0,0.006,0.009,1.3,0.25,0.89,0.9,5,0.45,,0,1,
