"min_evap","max_evap","mean_evap","min_precip","max_precip","mean_precip","min_temp","max_temp","mean_temp"
8.32609221727703,12.053907782723,10.19,46.3802977671099,64.0971215877288,55.2387096774194,2.71738621672371,4.1316460413408,3.42451612903226
12.1837518898524,16.7629147768143,14.4733333333333,35.2043537050788,50.8214527465341,43.0129032258065,3.74632373360658,5.45754723413535,4.60193548387097
29.4055493059011,33.5077840274322,31.4566666666667,36.1758233269877,50.7725637697865,43.4741935483871,7.57827268604287,8.95463053976358,8.26645161290323
49.8344752587866,53.25219140788,51.5433333333333,29.4472846161138,40.262392803241,34.8548387096774,13.2153147316935,14.3653304295968,13.7903225806452
55.8744584953873,63.6322081712793,59.7533333333333,40.4013041084131,52.6696636335224,46.5354838709677,17.5601028723099,18.7128003534965,18.1364516129032
54.394245086637,64.8524215800297,59.6233333333333,49.4102917381992,69.1363749284675,59.2733333333333,20.3608931225043,21.4952359097538,20.928064516129
60.3168436722442,70.4298229944224,65.3733333333333,60.8564634148672,86.6209559399715,73.7387096774194,22.5488315034953,23.9647168836015,23.2567741935484
47.169629992296,57.650370007704,52.41,56.5941830362865,78.3283976088748,67.4612903225807,22.5180106245533,23.6194087302854,23.0687096774194
31.0591091572291,36.1875575094376,33.6233333333333,44.0478967986725,62.5779096529404,53.3129032258065,18.0613358881491,19.292857660238,18.6770967741935
18.8812463110335,20.8720870222998,19.8766666666667,43.2957433546064,58.6442566453936,50.97,12.6671089838063,13.8242243495271,13.2456666666667
9.28782494326315,11.1255083900702,10.2066666666667,40.6475014696822,57.584756594834,49.1161290322581,6.95142014225085,7.95374114807173,7.45258064516129
6.48135202029681,8.76531464636986,7.62333333333333,47.900057100393,64.3838138673489,56.141935483871,3.41583282847592,4.89126394571763,4.15354838709677
